agent,symbol,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,n_trades
MeanReversionAgent,AAPL,0.3839080760069287,0.16274969605425427,0.8100657425447666,-0.07517889916028925,0.0,16
BuffettAgent,SPY,0.3120482507275397,0.1343292649725052,0.6847947183680972,-0.18535805889722184,0.0,11
BuffettAgent,AAPL,0.2360420321069342,0.10334557754170692,0.41024622158925056,-0.2408060359239128,0.0,13
CitadelAgent,SPY,0.16073176214630222,0.07162123075730209,0.36581103242657814,-0.09688219074593361,0.0,15
MeanReversionAgent,MSFT,0.13513614478729316,0.060588994266177254,0.21802474846556236,-0.08430016009335455,1.0,14
TrendFollowingAgent,SPY,0.13061690485229555,0.05862730924600923,0.21728545693152032,-0.08322758209444357,0.0,7
MeanReversionAgent,SPY,0.1058296801739509,0.04779230891425823,0.11586643509999651,-0.06899962043734208,0.14285714285714285,14
TrendFollowingAgent,AAPL,0.06209772735260034,0.02835397563098785,-0.024382175813698847,-0.148563073539437,0.5,4
CitadelAgent,AAPL,-0.012187230877837282,-0.005674538895383829,-0.27381487645856456,-0.18306226988137117,0.16666666666666666,13
CitadelAgent,MSFT,-0.09285894170593194,-0.04422123596980043,-0.6812629128826962,-0.20602176073530187,0.0,16
BuffettAgent,MSFT,-0.2149286392059317,-0.10622428801320749,-0.8499077175376785,-0.30008666710782145,0.2,30
TrendFollowingAgent,MSFT,-0.15022315623382515,-0.07276200154437873,-0.9213673024015754,-0.2399808417896368,0.2,10
