sym,agent,ret,sharpe,maxdd,trades,alpha
AAPL,BuffettAgent,0.42038841047058184,0.353,-0.18289605487413502,11,-0.3789373338079204
SPY,MeanReversionAgent,0.323348891151734,0.304,-0.13539052325470277,8,-0.4671532718675426
QQQ,CitadelAgent,0.896398694228516,0.91,-0.12941245019095862,5,-0.358173656460371
NVDA,BuffettAgent,4.153720628821566,1.121,-0.3465741316228575,7,-4.5274906842084475
MSFT,MeanReversionAgent,0.6119965010400396,0.594,-0.18444518803862417,8,0.16543102649718355
GOOGL,CitadelAgent,1.235733137452393,0.824,-0.2243699850456821,7,-0.6275930733958799
META,CitadelAgent,1.9813721530603035,0.978,-0.28481678737331195,6,0.13290079779204222
JPM,MeanReversionAgent,1.2936125805795289,0.908,-0.23791801437060583,4,-0.5202928773542117
GS,MeanReversionAgent,1.0511729905169687,0.728,-0.2974643193687384,13,-1.6193428973094632
GLD,BuffettAgent,1.0110346434863284,0.842,-0.19600751101129807,8,-0.08926976124137598
TSLA,MeanReversionAgent,0.04741365556518634,0.101,-0.5227376233861476,16,-0.19044415179615518
AMD,MeanReversionAgent,3.814479510063171,1.001,-0.3848168141812673,7,-0.6827268164480329
AMZN,TrendFollowingAgent,0.23515935396209756,0.157,-0.2805530524271639,7,-0.33728485552516374
LLY,BuffettAgent,1.1105545505767838,0.658,-0.4779206486756557,15,-1.7825598145358623
