,equity,benchmark
2022-10-10,1000000.0,1000000.0
2022-10-11,999713.8031054704,993667.0137544364
2022-10-12,999085.7078630629,990389.4210782615
2022-10-13,1004724.9959222975,1016526.893483715
2022-10-14,999918.7326098579,993361.4565859459
2022-10-17,1004294.2903346701,1018888.081827693
2022-10-18,1006455.078433959,1030859.3147468605
2022-10-19,1009189.2745174551,1023554.0849546891
2022-10-20,1008374.1482205663,1014971.3216206944
2022-10-21,1017229.8177857671,1039636.758340348
2022-10-24,1019770.2359101328,1052358.3028726114
2022-10-25,1018404.7281835405,1069162.967504249
2022-10-26,1013023.3638417909,1061107.871387773
2022-10-27,1010094.6076748751,1055441.39340481
2022-10-28,1017892.0250390649,1080550.9611647616
2022-10-31,1017586.2538921246,1072745.8501756396
2022-11-01,1013250.5828037466,1068051.7047970428
2022-11-02,1007027.3277066842,1041247.8131867467
2022-11-03,1008442.5307553441,1030526.1496733183
2022-11-04,1012197.316005134,1045358.7193066889
2022-11-07,1015452.5222399874,1055358.3915741388
2022-11-08,1015106.5708704172,1061052.2102888785
2022-11-09,1007862.7709088715,1039192.4491845337
2022-11-10,1011413.2315898911,1096300.38041912
2022-11-11,1004888.3904448095,1106910.899850276
2022-11-14,1007179.8065313908,1097494.6449569976
2022-11-15,1002660.5196092029,1106855.4168668983
2022-11-16,999540.5614725534,1098411.2274047108
2022-11-17,1004674.2987871616,1095050.2766668317
2022-11-18,1006832.6783386689,1100022.1931933512
2022-11-21,1003983.1425023685,1096022.342097923
2022-11-22,1004087.182626547,1110771.7317851058
2022-11-23,1003738.356498541,1117771.22629327
2022-11-25,1005569.5232171916,1117521.4192814322
2022-11-28,1002355.7630534159,1099689.1171775674
2022-11-29,1003029.3334222957,1097800.2911832463
2022-11-30,1004148.6820706914,1132381.6858776126
2022-12-01,998611.2134933465,1131548.283376087
2022-12-02,998444.3358786656,1130242.9638136956
2022-12-05,995906.809945271,1109910.7213785287
2022-12-06,994986.9041643218,1093911.4060545738
2022-12-07,993295.5505695334,1092050.4551385792
2022-12-08,995955.809400347,1100605.6105675225
2022-12-09,992506.2066942811,1092383.8873853958
2022-12-12,994231.260716531,1108132.9504087216
2022-12-13,990494.8961201906,1116521.3897142564
2022-12-14,989979.5429160709,1109382.8760454936
2022-12-15,988708.626625624,1082245.641246139
2022-12-16,991363.962122756,1069468.2574994648
2022-12-19,991263.2377322874,1060399.68409432
2022-12-20,993025.7236015206,1061850.8802646939
2022-12-21,995315.5403663523,1077728.0083443557
2022-12-22,994070.7366208019,1062352.9879056
2022-12-23,993871.8682251719,1068463.9531598939
2022-12-27,997671.3562567388,1064250.3634447113
2022-12-28,997219.785147969,1051023.8614232782
2022-12-29,997423.0553853122,1069942.7572353196
2022-12-30,999531.9865834323,1067124.5244760998
2023-01-03,997584.8193626204,1062631.8277466213
2023-01-04,996273.997844676,1070835.7393771014
2023-01-05,994967.2292274537,1058613.8979262724
2023-01-06,999285.855760962,1082890.330357973
2023-01-09,997189.5528635593,1082276.3661727286
2023-01-10,998558.489989719,1089866.0464446896
2023-01-11,1000476.7702100865,1103650.4062636816
2023-01-12,1001760.6479371426,1107668.6032573052
2023-01-13,1009803.9815195453,1111966.0853807416
2023-01-17,1008374.7445443714,1109928.8001034495
2023-01-18,1001791.1910456246,1092405.3503051295
2023-01-19,1000119.1437635121,1084452.7596683775
2023-01-20,998386.7266513463,1104654.9777765272
2023-01-23,1001404.0643364693,1117909.4439340446
2023-01-24,1004443.7133377576,1116709.5687573985
2023-01-25,1008501.4488691436,1117128.051163326
2023-01-26,1010179.0996505792,1129405.9099440826
2023-01-27,1011784.368948612,1132000.6967879003
2023-01-30,1003836.2579953142,1117797.6764474646
2023-01-31,1009914.3294646055,1134233.1966712347
2023-02-01,1021211.392175569,1146287.5204788314
2023-02-02,1020417.9709624334,1162974.0054652966
2023-02-03,1018547.7707232519,1150612.6105073194
2023-02-06,1017842.3320690973,1143580.788032917
2023-02-07,1024468.9257396354,1158537.3260657452
2023-02-08,1024236.2447529753,1145868.8599573877
2023-02-09,1022392.9579020818,1135935.2685465454
