agent,symbol,window,train_start,train_end,test_start,test_end,is_sharpe,is_return,oos_sharpe,oos_return,oos_max_drawdown,oos_n_trades,oos_win_rate,benchmark_return,alpha,avg_oos_sharpe,avg_is_sharpe,avg_alpha,lookahead_warning,asset_bh_return
BuffettAgent,AAPL,0,2021-06-21,2022-12-16,2022-12-19,2023-06-21,-0.7827,-0.022,2.1368,0.2108,-0.0614,1,0.0,0.1532,0.0577,0.4662,0.1828,-0.043,False,0.3938
BuffettAgent,AAPL,1,2021-09-20,2023-03-21,2023-03-22,2023-09-20,0.4418,0.0536,0.9735,0.1095,-0.1087,0,0.0,0.1268,-0.0173,0.4662,0.1828,-0.043,False,0.1149
BuffettAgent,AAPL,2,2021-12-17,2023-06-21,2023-06-22,2023-12-19,1.7764,0.2108,-1.041,-0.0729,-0.1481,2,0.0,0.0961,-0.1689,0.4662,0.1828,-0.043,False,0.056
BuffettAgent,AAPL,3,2022-03-21,2023-09-20,2023-09-21,2024-03-21,0.3984,0.0625,-1.4415,-0.0774,-0.1157,3,0.0,0.2192,-0.2966,0.4662,0.1828,-0.043,False,-0.0122
BuffettAgent,AAPL,4,2022-06-21,2023-12-19,2023-12-20,2024-06-21,-1.3059,-0.0977,0.5038,0.0563,-0.0718,2,0.0,0.1702,-0.1139,0.4662,0.1828,-0.043,False,0.0678
BuffettAgent,AAPL,5,2022-09-20,2024-03-21,2024-03-22,2024-09-20,-1.1692,-0.0616,1.9557,0.2335,-0.1128,1,0.0,0.0971,0.1364,0.4662,0.1828,-0.043,False,0.3279
BuffettAgent,AAPL,6,2022-12-19,2024-06-21,2024-06-24,2024-12-19,0.8692,0.1047,1.693,0.1938,-0.1128,0,0.0,0.0832,0.1106,0.4662,0.1828,-0.043,False,0.2028
BuffettAgent,AAPL,7,2023-03-22,2024-09-20,2024-09-23,2025-03-25,1.6342,0.2339,-0.2981,-0.0229,-0.1423,1,0.0,0.0166,-0.0395,0.4662,0.1828,-0.043,False,-0.0098
BuffettAgent,AAPL,8,2023-06-22,2024-12-19,2024-12-20,2025-06-25,0.8995,0.1222,-1.7151,-0.1265,-0.1411,1,0.0,0.0332,-0.1597,0.4662,0.1828,-0.043,False,-0.2061
BuffettAgent,AAPL,9,2023-09-21,2025-03-25,2025-03-26,2025-09-24,-0.3511,-0.0251,1.2533,0.0951,-0.0516,1,0.0,0.1694,-0.0743,0.4662,0.1828,-0.043,False,0.1417
