agent,symbol,avg_oos_sharpe,avg_is_sharpe,avg_alpha,lookahead_warning
BuffettAgent,AAPL,0.4662,0.1828,-0.043,False
CitadelAgent,AAPL,0.0691,-0.0996,-0.0825,False
TrendFollowingAgent,AAPL,-0.0395,0.0028,-0.0908,False
MeanReversionAgent,AAPL,-0.1362,0.0846,-0.1007,False
MeanReversionAgent,AMD,0.8686,0.4096,0.1056,False
BuffettAgent,AMD,0.6086,0.3391,0.0343,False
CitadelAgent,AMD,0.364,0.0477,-0.0105,False
TrendFollowingAgent,AMD,0.2688,0.1856,-0.0241,False
TrendFollowingAgent,AMZN,0.4017,0.3173,-0.0341,False
BuffettAgent,AMZN,0.3901,0.2094,-0.0317,False
CitadelAgent,AMZN,0.2757,0.5,-0.0435,False
MeanReversionAgent,AMZN,-0.1079,-0.0315,-0.1204,False
BuffettAgent,GLD,1.2929,0.6034,0.0326,False
MeanReversionAgent,GLD,1.2783,0.7112,0.018,False
CitadelAgent,GLD,1.1615,0.3706,0.0245,False
TrendFollowingAgent,GLD,1.1591,0.5918,0.0242,False
CitadelAgent,GOOGL,0.8501,0.4114,0.0138,False
BuffettAgent,GOOGL,0.7117,0.0893,0.0059,False
TrendFollowingAgent,GOOGL,0.7033,0.3497,0.0036,False
MeanReversionAgent,GOOGL,0.2552,0.6184,-0.0528,False
BuffettAgent,GS,0.9406,0.5294,0.0225,False
MeanReversionAgent,GS,0.9319,0.7182,-0.0252,False
TrendFollowingAgent,GS,0.7544,-0.0509,-0.0028,False
CitadelAgent,GS,0.5817,0.0327,-0.0065,False
MeanReversionAgent,JPM,1.4785,1.2973,0.0603,False
BuffettAgent,JPM,1.2569,0.9434,0.0233,False
TrendFollowingAgent,JPM,1.1983,0.5336,0.0168,False
CitadelAgent,JPM,1.1019,0.4942,0.0078,False
CitadelAgent,LLY,1.0949,0.8982,0.0801,False
TrendFollowingAgent,LLY,0.928,0.9405,0.0524,False
BuffettAgent,LLY,0.7776,0.5172,0.0429,False
MeanReversionAgent,LLY,0.4628,0.332,-0.0151,False
CitadelAgent,META,1.0862,1.3541,0.1145,False
BuffettAgent,META,1.0732,1.1717,0.1389,False
TrendFollowingAgent,META,0.9253,1.2229,0.0936,False
MeanReversionAgent,META,0.5138,1.0483,-0.0004,False
MeanReversionAgent,MSFT,0.8275,1.0303,-0.0144,False
TrendFollowingAgent,MSFT,0.4317,0.1455,-0.0397,False
BuffettAgent,MSFT,0.2738,0.322,-0.0491,False
CitadelAgent,MSFT,0.0783,-0.1238,-0.0488,False
BuffettAgent,NVDA,1.4965,1.1354,0.2944,False
CitadelAgent,NVDA,1.4097,1.4923,0.3253,False
TrendFollowingAgent,NVDA,1.4011,1.4157,0.3202,False
MeanReversionAgent,NVDA,0.5445,0.4209,-0.0009,False
CitadelAgent,QQQ,1.2131,0.8448,-0.0017,False
BuffettAgent,QQQ,1.1709,0.7764,-0.0026,False
TrendFollowingAgent,QQQ,1.0629,0.8371,-0.0117,False
MeanReversionAgent,QQQ,0.5757,0.554,-0.0475,False
BuffettAgent,SPY,0.882,0.1492,-0.0423,False
MeanReversionAgent,SPY,0.8666,0.8101,-0.0338,False
CitadelAgent,SPY,0.6556,0.4223,-0.0546,False
TrendFollowingAgent,SPY,0.631,0.349,-0.0558,False
BuffettAgent,TSLA,0.2564,-0.2855,-0.0111,False
MeanReversionAgent,TSLA,0.2473,0.2671,-0.0148,False
TrendFollowingAgent,TSLA,-0.2313,-0.0396,-0.0967,False
CitadelAgent,TSLA,-0.2641,0.0337,-0.0839,False
